Name,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/Free Cash Flow,Dividend Yield,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Float Short,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Analyst Recom,Change,Stocks
Insurance-Life,372.26289,9.87,7.93,0.34,0.88,0.81,3.45,3.34,0.0384,0.1005,0.2934,0.0663,0.0101,0.0033,0.1207,0.0834,0.1137,-0.0916,-0.1391,1.72,-0.0026,22
Insurance-Diversified,1235.32598,27.57,18.05,5.24,1.78,0.0,16.78,25.82,0.0033,0.2709,0.0526,0.054900000000000004,0.0102,-0.0051,0.0971,0.0556,0.1869,0.0113,-0.0102,2.34,-0.0033,15
Information Technology Services,840.2968199999999,32.61,20.12,3.55,2.35,4.08,12.47,21.82,0.0143,0.1401,0.092,0.1981,0.0202,0.013999999999999999,0.0876,0.11289999999999999,0.1729,0.134,0.1137,2.31,0.0051,63
Industrial Distribution,89.17629,32.26,25.24,3.94,1.59,5.48,33.17,28.25,0.0158,0.19640000000000002,0.0818,0.0489,0.0285,0.009899999999999999,0.0791,0.1597,0.2696,0.31829999999999997,0.2784,2.65,0.0118,18
Household & Personal Products,794.75354,28.21,23.43,3.4,3.53,8.96,54.03,52.19,0.0225,0.0613,0.083,0.011899999999999999,0.0143,-0.01,-0.0154,0.006999999999999999,0.1263,0.0958,0.1026,2.07,0.004,26
Home Improvement Retail,414.55857000000003,22.82,20.26,1.96,1.92,58.25,16.43,20.23,0.0202,0.17190000000000003,0.1166,0.0661,0.0125,-0.04019999999999999,-0.08199999999999999,-0.046799999999999994,0.0751,0.2437,0.22949999999999998,2.11,-0.0029,7
Healthcare Plans,690.89067,16.85,14.64,1.5,0.69,2.63,10.49,15.27,0.0124,0.1745,0.1124,0.1547,0.0169,0.0353,0.0226,0.14400000000000002,0.10099999999999999,0.1675,0.1139,1.94,0.0031,10
Health Information Services,190.01081,145.39,50.65,9.91,6.65,6.36,16.07,84.09,0.0017000000000000001,0.24539999999999998,0.1467,0.3169,0.058899999999999994,0.0084,-0.0019,0.0682,0.1858,0.5382,0.4877,2.01,0.0146,38
Grocery Stores,46.986230000000006,10.44,13.22,1.01,0.21,2.73,7.6,7.65,0.018500000000000003,0.0693,0.1036,0.0591,0.08539999999999999,-0.038599999999999995,-0.0387,-0.0473,-0.009000000000000001,0.1003,0.0917,2.36,0.006,10
Gold,260.92448,22.36,17.02,0.75,4.24,2.26,14.16,27.12,0.0148,0.1244,0.2994,0.052000000000000005,0.013000000000000001,0.018500000000000003,-0.1263,-0.1479,0.0622,0.4253,0.287,2.2,0.0002,40
Gambling,16.893330000000002,,35.07,,1.89,10.12,5.19,19.45,0.0108,0.1646,0.1752,0.1003,0.0588,0.06559999999999999,0.1783,0.2443,0.4535,0.2541,0.2005,2.34,0.0213,11
"Furnishings, Fixtures & Appliances",53.843059999999994,19.94,13.72,2.39,1.01,2.77,7.97,10.18,0.0139,0.1268,0.0836,0.044000000000000004,0.0393,0.001,-0.0022,0.142,0.3375,0.11789999999999999,0.11630000000000001,2.53,-0.0143,24
Footwear & Accessories,246.61475,69.61,32.86,3.0,4.15,13.91,17.79,160.31,0.0075,-0.0043,0.23170000000000002,0.04190000000000001,0.0217,0.034,0.08839999999999999,0.22920000000000001,0.36340000000000006,0.40090000000000003,0.33799999999999997,1.91,0.0042,12
Food Distribution,56.10534,376.46,22.16,16.18,0.35,5.17,7.15,24.51,0.0169,-0.1045,0.2327,0.0377,0.038599999999999995,0.0397,0.2727,0.2563,0.3847,-0.07730000000000001,-0.1079,2.33,0.013000000000000001,11
Financial Data & Stock Exchanges,342.32748,32.01,27.77,3.36,9.47,5.81,44.41,41.55,0.011200000000000002,0.2515,0.0953,0.0818,0.0125,0.0106,0.0315,0.0403,0.0559,0.1522,0.1501,2.16,-0.0042,10
Financial Conglomerates,14.18529,21.91,12.21,0.95,1.09,0.76,1.46,11.97,0.0187,0.12990000000000002,0.2303,-0.0713,0.055999999999999994,-0.015,0.1409,0.259,0.29760000000000003,0.056299999999999996,0.0273,1.72,-0.0028000000000000004,3
Farm Products,71.61768,13.55,13.19,1.81,0.38,1.51,19.49,21.8,0.0253,-0.0361,0.0748,-0.015600000000000001,0.0195,0.0169,0.10189999999999999,0.12539999999999998,0.1629,-0.059500000000000004,-0.0926,2.02,0.0034000000000000002,23
Farm & Heavy Construction Machinery,245.21301,30.78,19.07,3.32,1.49,4.63,11.16,16.75,0.015300000000000001,0.1202,0.09269999999999999,0.0101,0.0148,0.0095,0.0642,0.1654,0.3911,0.2696,0.2366,2.36,0.0025,21
